conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1879592998964740100,Wed Jan 15 18:14:26 +0000 2025,480,Presiden Prabowo Subianto minta agar pagar laut di Tangerang Banten dicabut dan diusut siapa pemiliknya. Hal itu Disampaikan Ketua MPR Ahmad Muzani ~ @kompascom https://t.co/HFHGlCGM0N,1879592998964740100,https://pbs.twimg.com/media/GhV37EfbEAADOvV.jpg,,in,Indonesia ,18,31,238,https://x.com/Mdy_Asmara1701/status/1879592998964740100,1334853481019056128,Mdy_Asmara1701
1879540940463034708,Wed Jan 15 14:47:35 +0000 2025,1624,Presiden Prabowo Subianto minta agar pagar laut di Tangerang Banten dicabut dan diusut siapa pemiliknya. Hal itu disampaikan Ketua MPR Ahmad Muzani Rabu (15/1/2025). | #Prabowo #PagarLaut #Tangerang https://t.co/FeP9Bk8B3r,1879540940463034708,https://pbs.twimg.com/media/GhV37EfbEAADOvV.jpg,,in,Jakarta,80,147,661,https://x.com/kompascom/status/1879540940463034708,23343960,kompascom
1879511125194412138,Wed Jan 15 12:49:06 +0000 2025,87,100 hari @prabowo jadi presiden gerombolan asyuuu berebut tulang di tong sampah! Dan hasil surveinya tetap bagus! https://t.co/AKHUVpdBe2,1879511125194412138,https://pbs.twimg.com/ext_tw_video_thumb/1879511085935673345/pu/img/HQYBTiW9HyhXAIUi.jpg,,in,,3,13,41,https://x.com/vanc1Bozz/status/1879511125194412138,1622484956151975937,vanc1Bozz
1879506803681292684,Wed Jan 15 12:31:56 +0000 2025,315,Cuit lejen Rudy Sutanto alias @kurawa . Fyi pak Presiden @prabowo ! https://t.co/8EkOgcWoVH,1879506803681292684,https://pbs.twimg.com/media/GhVZeWSbgAAtiSn.jpg,,in,Bekasi - Indonesia,4,24,239,https://x.com/bachrum_achmadi/status/1879506803681292684,105085302,bachrum_achmadi
1879498038605140016,Wed Jan 15 11:57:06 +0000 2025,156,Temen setelah 100 hari @prabowo menjabat sebagai presiden apa penilaian lu bro? Gua ...kang survei gajian lagi! https://t.co/u2w9gOe2tk,1879498038605140016,https://pbs.twimg.com/ext_tw_video_thumb/1879497933424570368/pu/img/2L4OwnfGVfbVDppS.jpg,,in,,8,110,56,https://x.com/vanc1Bozz/status/1879498038605140016,1622484956151975937,vanc1Bozz
1879497431613895072,Wed Jan 15 11:54:41 +0000 2025,386,Happy banget Presiden ke-7 Pak Jokowi dgn Presiden ke-8 Pak Prabowo Dalam suasana bersenda gurau tangan Pak Prabowo sampe pukul pelan paha Mas Gibran... https://t.co/s7HJgfb8M7,1879497431613895072,https://pbs.twimg.com/ext_tw_video_thumb/1879497388303560704/pu/img/hasfbTqyWGdsMS6M.jpg,,in,,7,81,48,https://x.com/tham878/status/1879497431613895072,1759100655783043072,tham878
1879492380585549923,Wed Jan 15 11:34:37 +0000 2025,1320,Presiden Prabowo Subianto Perintahkan Tidak Hanya Segel Pagar Laut: Dicabut dan Diusut https://t.co/go3tcb1n0T,1879492380585549923,,,in,,35,200,499,https://x.com/Ndons_Back/status/1879492380585549923,1289954556411969537,Ndons_Back
1879476729267495115,Wed Jan 15 10:32:25 +0000 2025,226,JOKOWI MEMANG BEDA Presiden ke-7 Joko Widodo (Jokowi) memberikan tanggapan soal evaluasi proyek strategis nasional (PSN) yang akan dilakukan pemerintahan Presiden Prabowo Subianto. Menurut Jokowi evaluasi itu wajar dan penting untuk memastikan program-program pemerintah bisa https://t.co/cCwA5yqGJV,1879476729267495115,https://pbs.twimg.com/amplify_video_thumb/1879476667078627328/img/xyKzqaKy6NSmdWxe.jpg,,in,Sweet home,13,191,44,https://x.com/__LOVE_AG4EVER/status/1879476729267495115,799023207294504960,__LOVE_AG4EVER
1879453421058797785,Wed Jan 15 08:59:48 +0000 2025,86,Menteri kabinet bergerak cepat 40 rb rumah dibangun Bahkan mereka sudah berpikir sebelum dilantik Presiden @prabowo Pembangunan rumah untuk MBR gas pol Tanahnya dari mana? Silahkan disimak Optimis itu MADU pesimis itu RACUN Nah kalian pilih mana? https://t.co/VGCeLey1oz,1879453421058797785,https://pbs.twimg.com/ext_tw_video_thumb/1879453376230170624/pu/img/fOz0rWY9035pX4CY.jpg,,in,,19,202,33,https://x.com/BANGSAygSUJUD/status/1879453421058797785,1189039138835554304,BANGSAygSUJUD
1879436378112704910,Wed Jan 15 07:52:05 +0000 2025,445,Jokowi Ditarget Out dari Circle Presiden Prabowo Siap 'Bersihkan' Kabinet Demi Ajak Banteng? https://t.co/7JMTX4tOSA,1879436378112704910,,,in,,13,47,162,https://x.com/OposisiCerdas/status/1879436378112704910,887743587579944960,OposisiCerdas
1879418844554620932,Wed Jan 15 06:42:25 +0000 2025,333,Ketauan NGIBUL nya Si @Maruarar_Sirait JONGOS Aguan Menteri Perumahan dan Kawasan Permukiman (PKP) Maruarar Sirait (Ara) menghadiri rapat bersama Presiden Prabowo Subianto beserta Menteri Kabinet Merah Putih di Istana Merdeka. Ia mengatakan pemerintah telah membangun sekitar https://t.co/lKN1126VCH,1879418844554620932,https://pbs.twimg.com/ext_tw_video_thumb/1879418730683473920/pu/img/ar5970Z4UaWiMEB9.jpg,,in,,3,36,116,https://x.com/Ary_PrasKe2/status/1879418844554620932,1875086359578472450,Ary_PrasKe2
1879387628082180145,Wed Jan 15 04:38:22 +0000 2025,112,Begitu mendengar ATK Kementerian dan lembaga menyedot 44 4 T Presiden @prabowo langsung turun tangan Harusnya hal2 begini dipahami pihak2 internal masak sih gak ngerti makna efisiensikan uang rakyat? Presiden tak ingin hal ini melukai hati rakyat SALUT kpdmu Presiden 🇮🇩 https://t.co/yi27pdHQUY,1879387628082180145,https://pbs.twimg.com/ext_tw_video_thumb/1879387488319602688/pu/img/xNAFxlsCTZJww-EQ.jpg,,in,,6,54,36,https://x.com/BANGSAygSUJUD/status/1879387628082180145,1189039138835554304,BANGSAygSUJUD
1879363298292056544,Wed Jan 15 03:01:41 +0000 2025,194,Menuju Koalisi Mega-Prabowo Rencana pertemuan Presiden Prabowo Subianto dengan Ketua Umum Partai Demokrasi Indonesia Perjuangan Megawati Soekarnoputri kembali mencuat. #TempoHarian #TempoPlus https://t.co/9f6xur3ODH,1879363298292056544,https://pbs.twimg.com/media/GhTWFqVaMAAe6Al.jpg,,in,Indonesia,6,29,54,https://x.com/tempodotco/status/1879363298292056544,18129942,tempodotco
1879346049384632334,Wed Jan 15 01:53:09 +0000 2025,1053,. . Publik dipertontonkan bagaimana Negara dibawah Kepemimpinan Presiden @prabowo itu LEMAH dan BODOH !!! Kementrian KKP yang Mentrinya adalah PEMBANTU PRESIDEN PRABOWO menunjukkan Prilaku yang sudah DILUAR NALAR KEWARASAN Masa iya MALING ditungguin BUAT NGAKU ??!!! Sedangkan https://t.co/9sCL1zcZzP,1879346049384632334,https://pbs.twimg.com/media/GhTHRPpaEAAVSNc.jpg,,in,Bermuda Triangle,24,214,507,https://x.com/StefanAntonio__/status/1879346049384632334,1529491450605768704,StefanAntonio__
1879340152759456234,Wed Jan 15 01:29:43 +0000 2025,777,Negara dibelah-belah oleh Jokowi Aguan dan Anthony Salim seenaknya. Pagar laut 8 km di Bekas ini warisan masalah besar yang diberikan oleh Jokowi kepada Presiden Prabowo. Semua warisan Jokowi adalah masalah kebusukan keburukan #DukungPrabowoBasmiKorupsi https://t.co/J1UkEMzbpT,1879340152759456234,https://pbs.twimg.com/ext_tw_video_thumb/1879340045603401728/pu/img/a4zDDh7rwFeyVobf.jpg,,in,,12,48,456,https://x.com/MichelAdam717/status/1879340152759456234,1840318532455895040,MichelAdam717
1879247856873394668,Tue Jan 14 19:22:58 +0000 2025,12984,Pak Presiden @prabowo ,1879247856873394668,,,in,Indonesia,24,155,2507,https://x.com/susipudjiastuti/status/1879247856873394668,2606229566,susipudjiastuti
1879182804883481065,Tue Jan 14 15:04:28 +0000 2025,3219,Presiden @Prabowo @Gerindra @DPR_RI @DPRD Hanya bersandiwara Makan rakyat sendiri yg bergerak. https://t.co/DRLE4bWuBI,1879182804883481065,https://pbs.twimg.com/ext_tw_video_thumb/1879182758775554048/pu/img/JvxH6O6o08g48_ZA.jpg,,in,,40,208,1154,https://x.com/H4T14K4LN4L42/status/1879182804883481065,1129672753651388416,H4T14K4LN4L42
1879177261796168158,Tue Jan 14 14:42:27 +0000 2025,207,Jk loe @Uki23 punya urat malu n hrg diri mestinya loe menolak msk pemerintahan Presiden @prabowo . Tp ya mo gmn tipikal politisi Indo itu byk yg munafik contohnya loe ki! https://t.co/JKKtimh63g,1879177261796168158,https://pbs.twimg.com/media/GhQtwSfaMAA_ORV.jpg,,in,Bekasi - Indonesia,6,35,121,https://x.com/bachrum_achmadi/status/1879177261796168158,105085302,bachrum_achmadi
1879176449514770667,Tue Jan 14 14:39:13 +0000 2025,769,Jadi presiden belum siap jadi semua memalukan / atau hanya ingin wah ... ? @prabowo @gerindra https://t.co/UfiaXRJeL0,1879176449514770667,https://pbs.twimg.com/ext_tw_video_thumb/1879176396075151360/pu/img/awXMarpIRK1j7ixt.jpg,,in,,39,208,458,https://x.com/H4T14K4LN4L42/status/1879176449514770667,1129672753651388416,H4T14K4LN4L42
1879175581969133592,Tue Jan 14 14:35:46 +0000 2025,118,Ramein Lagi kasus ini. Jangan kita tinggal diam. Udah merusak alam. Merampok lagi di negeri ini. Malah di bebaskan.. Jangan sesuka hati bangsat² ini merusak alam dan merampok hasil bumi kita.. Cc Bapak presiden Republik indonesia @prabowo @KejaksaanRI https://t.co/LljdOGQE8w https://t.co/TEwWS2Vou7,1879175581969133592,https://pbs.twimg.com/media/GhQsO8PaMAE65DH.jpg,,in,"Sumatera Utara, Indonesia",3,31,85,https://x.com/PresidenKopi/status/1879175581969133592,1021329195329179648,PresidenKopi
1879172641288032592,Tue Jan 14 14:24:05 +0000 2025,1133,. WAJAR sih.! Kalo sudah dimenangin jadi Presiden ya Memang harus perbaiki semua Kerusakan yg diwariskan kepadanya. MESKIPUN Prabowo sekarang Status Kenegaraannya sebagai RI 1. Tapi tetap aja Dimata Mulyono dia cuma Seseorang yang Wajib Membalas Jasa. .. . https://t.co/PU0SEm3u60,1879172641288032592,https://pbs.twimg.com/ext_tw_video_thumb/1879168355955011584/pu/img/76-nSKeqlR0CGn9n.jpg,,in,,6,42,468,https://x.com/Chynthia_K/status/1879172641288032592,1331140639,Chynthia_K
1879168918444814449,Tue Jan 14 14:09:18 +0000 2025,1182,Masuk Akal Juga Pidato Presiden Prabowo 2030 Indonesia BUBAR. Sekelas Buzzer Aja Jadi Staf Ahli Kemkomdigi Kapasitas Rudi Valinka Itu Apa https://t.co/DxSFwkIfp4,1879168918444814449,https://pbs.twimg.com/ext_tw_video_thumb/1879168889160101888/pu/img/grDX2M4wykfa6TPZ.jpg,,in,"DKI Jakarta, Indonesia",24,55,476,https://x.com/MARQUEZ__93/status/1879168918444814449,2385926900,MARQUEZ__93
1879166586411430186,Tue Jan 14 14:00:02 +0000 2025,627,Centre for Indonesia Strategic Actions (CISA) merilis hasil survei yang menunjukkan mayoritas publik puas terhadap kinerja pemerintahan Presiden Prabowo Subianto dan Wakil Presiden Gibran Rakabuming Raka selama 100 hari pertama mereka menjabat. Survei yang digelar pada 5-10 https://t.co/EwoqGfBts6,1879166586411430186,https://pbs.twimg.com/media/GhQJ9R1bsAI_Cea.jpg,,in,"Pulo Gadung, Indonesia",169,1167,92,https://x.com/tvOneNews/status/1879166586411430186,55507370,tvOneNews
1879114539721183666,Tue Jan 14 10:33:13 +0000 2025,1604,Ketua Dewan Perwakilan Daerah (DPD) RI Sultan Bachtiar Najamudin mengusulkan agar rakyat memberi sumbangan uang untuk program Makan Bergizi Gratis (MBG). . Menurutnya cara itu dapat membantu menyukseskan program pemerintahan Presiden RI Prabowo Subianto dan Wakil Presiden Gibran https://t.co/4uueMlT4Ka,1879114539721183666,https://pbs.twimg.com/ext_tw_video_thumb/1879114056113807360/pu/img/28XxDt2dWwZ25mZN.jpg,,in,Indonesia,1691,3951,562,https://x.com/pikiran_rakyat/status/1879114539721183666,58880688,pikiran_rakyat
1879078565821776233,Tue Jan 14 08:10:16 +0000 2025,3970,Mantan presiden Joko Widodo menjadi finalis tokoh korup 2024 versi Organized Crime and Corruption Reporting Project (OCCRP). Tak dibela partai-partai Presiden Prabowo pun tak bersuara.⁣ ⁣⁣ #tempoplus #tempo #tokoh #korup #occrp https://t.co/UwrkYultWi,1879078565821776233,https://pbs.twimg.com/ext_tw_video_thumb/1879078313135845376/pu/img/cujAc_AGiIn-Qoek.jpg,,in,Indonesia,64,278,1584,https://x.com/tempodotco/status/1879078565821776233,18129942,tempodotco
